iter	Passed	Remaining
0	9	920
1	16	828
2	34	1123
3	41	1000
4	45	865	5	54	846	6	64	855
7	71	828	8	82	839	9	91	821010	96	781111	117	858
12	123	823
13	131	809
14	142	805
15	155	814
16	180	883
17	188	860
18	194	830
19	230	921
20	245	923
21	263	933
22	285	956
23	293	928
24	297	893
25	317	902
26	321	868
27	320	825
28	384	942
29	465	108630	537	1195
31	570	1212
32	587	1193
33	596	1158
34	614	1141
35	622	1107
36	634	1079
37	650	1061
38	655	1025
39	666	999
40	672	968
41	690	954
42	712	944
43	719	916
44	725	887
45	731	858
46	735	829
47	751	813
48	769	800
49	776	776
50	793	762
51	809	747
52	828	734
53	844	719
54	852	697
55	858	674
56	873	659
57	877	635
58	880	611
59	895	596
60	898	574
61	900	552
62	904	531
63	920	517
64	935	503
65	941	484
66	946	466
67	961	452
68	969	435
69	984	421
70	988	403
71	995	387
72	998	369
73	1002	352
74	1006	335
75	1009	318
76	1024	306
77	1032	291
78	1034	275
79	1049	262
80	1053	247
81	1063	233
82	1080	221
83	1084	206
84	1087	191
85	1102	179
86	1106	165
87	1115	152
88	1123	138
89	1126	125
90	1141	112
91	1149	99
92	1158	87
93	1169	74
94	1175	61
95	1192	49
96	1207	37
97	1211	24
98	1216	12
99	1226	0
